student_id,registered_month,registered_day,country,asked_question,engaged_lessons,engaged_quiz,engaged_exams,total_minutes_watched,average_rating_given,rating_count,quizzes_taken,quiz_questions_answered,correct_quiz_answers,subscribed
283159,7,30,IT,0,0,0,0,0,4.75,0,0,0,0,0
285343,8,14,US,0,0,0,0,0,4.75,0,0,0,0,0
288729,8,30,TR,0,0,0,0,0,4.75,0,0,0,0,0
288975,9,1,IN,0,0,0,0,0,4.75,0,0,0,0,0
258899,1,1,SA,0,0,0,0,0,4.75,0,0,0,0,0
290625,9,14,PT,0,0,0,0,0,4.75,0,0,0,0,0
259786,1,9,IN,0,0,0,0,0,4.75,0,0,0,0,0
261363,1,23,IN,0,0,0,0,0,4.75,0,0,0,0,0
293607,10,6,US,0,1,0,0,0.1,4.75,0,0,0,0,0
293693,10,7,NG,0,0,0,0,0,4.75,0,0,0,0,0
293897,10,9,DE,0,0,0,0,0,4.75,0,0,0,0,0
294002,10,10,US,0,0,0,0,0,4.75,0,0,0,0,0
294891,10,16,DE,0,0,0,0,0,4.75,0,0,0,0,0
295316,10,19,GB,0,0,0,0,0,4.75,0,0,0,0,0
295380,10,19,GB,0,0,0,0,0,4.75,0,0,0,0,0
262822,2,6,IN,0,0,0,0,0,4.75,0,13,18,17,0
264321,2,20,ID,0,0,0,0,0,4.75,0,0,0,0,0
264682,2,23,CA,0,0,0,0,0,4.75,0,0,0,0,0
264979,2,25,NG,0,0,0,0,0,4.75,0,0,0,0,0
265491,3,1,DE,0,0,0,0,0,4.75,0,0,0,0,0
265793,3,3,US,0,0,0,0,0,4.75,0,2,2,2,0
265728,3,3,ID,0,0,0,0,0,4.75,0,0,0,0,0
268966,3,30,EG,0,0,0,0,0,4.75,0,0,0,0,0
269437,4,3,PE,0,0,0,0,0,4.75,0,0,0,0,0
269719,4,5,MA,0,1,0,1,6.6,4.75,0,0,0,0,0
273030,5,6,VE,0,0,0,0,0,4.75,0,0,0,0,0
273497,5,11,CL,0,0,0,0,0,4.75,0,0,0,0,0
275145,5,26,MA,0,0,0,0,0,4.75,0,0,0,0,0
275423,5,30,NP,0,0,0,0,0,4.75,0,0,0,0,0
276076,6,2,CA,0,0,0,0,0,4.75,0,0,0,0,0
278379,6,19,MX,0,0,0,0,0,4.75,0,0,0,0,0
278672,6,20,BE,0,0,0,0,0,4.75,0,0,0,0,0
282530,7,25,BD,0,0,0,0,0,4.75,0,0,0,0,0
283997,8,5,NG,0,0,0,0,0,4.75,0,0,0,0,0
284016,8,5,CY,0,0,0,0,0,4.75,0,0,0,0,0
284351,8,8,IN,0,0,0,0,0,4.75,0,0,0,0,0
285554,8,15,IN,0,0,0,0,0,4.75,0,0,0,0,0
286435,8,16,KE,0,0,0,0,0,4.75,0,0,0,0,0
286718,8,17,US,0,0,0,0,0,4.75,0,0,0,0,0
290402,9,12,CA,0,0,0,0,0,4.75,0,0,0,0,0
259091,1,3,CN,0,0,0,0,0,4.75,0,0,0,0,0
259282,1,4,IE,0,0,0,0,0,4.75,0,0,0,0,0
259934,1,10,IN,0,0,0,0,0,4.75,0,0,0,0,0
293436,10,5,CA,0,0,0,0,0,4.75,0,0,0,0,0
261516,1,25,IN,0,0,0,0,0,4.75,0,0,0,0,0
293755,10,8,US,0,0,0,0,0,4.75,0,0,0,0,0
294508,10,13,US,0,0,0,0,0,4.75,0,0,0,0,0
263263,2,10,IE,0,0,0,0,0,4.75,0,0,0,0,0
263595,2,14,US,0,0,0,0,0,4.75,0,0,0,0,0
266070,3,6,IN,0,0,0,0,0,4.75,0,0,0,0,0
266055,3,6,PT,0,0,0,0,0,4.75,0,0,0,0,0
266810,3,11,AM,0,1,1,1,199.5,4.75,0,28,41,37,1
266875,3,11,US,0,1,0,0,15.3,4.75,0,8,14,12,1
267031,3,12,US,0,0,0,0,0,4.75,0,0,0,0,0
269665,4,4,GB,0,0,0,0,0,4.75,0,0,0,0,0
270677,4,13,SA,0,0,0,0,0,4.75,0,5,8,8,0
270703,4,13,PK,0,0,0,0,0,4.75,0,0,0,0,0
270873,4,15,NZ,0,0,0,0,0,4.75,0,0,0,0,0
273226,5,8,ZA,0,0,0,0,0,4.75,0,0,0,0,0
274705,5,22,SA,0,0,0,0,0,4.75,0,1,2,1,0
275595,6,1,EG,0,0,0,0,0,4.75,0,1,1,1,0
275694,6,1,TH,0,0,0,0,0,4.75,0,0,0,0,1
277315,6,10,DE,0,0,0,0,0,4.75,0,0,0,0,0
277310,6,10,EG,0,0,0,0,0,4.75,0,0,0,0,0
277817,6,14,IN,0,0,0,0,0,4.75,0,0,0,0,0
279910,7,1,DE,0,0,0,0,0,4.75,0,0,0,0,0
280066,7,2,IN,0,0,0,0,0,4.75,0,0,0,0,0
280803,7,8,CA,0,0,0,0,0,4.75,0,0,0,0,0
281159,7,11,TR,0,0,0,0,0,4.75,0,0,0,0,0
282333,7,22,SA,0,0,0,0,0,4.75,0,0,0,0,0
282659,7,26,BG,0,0,0,0,0,4.75,0,0,0,0,0
282877,7,28,ET,0,0,0,0,0,4.75,0,0,0,0,0
283865,8,4,GB,0,0,0,0,0,4.75,0,0,0,0,0
284415,8,8,US,0,1,1,1,129,4.75,0,11,18,15,1
284612,8,9,CA,0,1,0,0,26.3,4.75,0,0,0,0,0
284787,8,10,EG,0,0,0,0,0,4.75,0,0,0,0,0
285022,8,11,US,0,0,0,0,0,4.75,0,0,0,0,0
286156,8,15,GB,0,0,0,0,0,4.75,0,0,0,0,0
286128,8,15,EG,0,0,0,0,0,4.75,0,0,0,0,0
285798,8,15,IN,0,0,0,0,0,4.75,0,0,0,0,0
286748,8,17,PH,0,0,0,0,0,4.75,0,0,0,0,0
286968,8,17,US,0,0,0,0,0,4.75,0,0,0,0,0
287660,8,22,AZ,0,0,0,0,0,4.75,0,0,0,0,0
290134,9,10,SE,0,0,0,0,0,4.75,0,0,0,0,0
259286,1,4,IN,0,0,0,0,0,4.75,0,0,0,0,0
292420,9,28,IN,0,0,0,0,0,4.75,0,0,0,0,0
261182,1,21,US,0,0,0,0,0,4.75,0,0,0,0,0
261743,1,27,BR,0,0,0,0,0,4.75,0,0,0,0,0
294383,10,12,BG,0,0,0,0,0,4.75,0,0,0,0,0
261992,1,30,IN,0,0,0,0,0,4.75,0,0,0,0,0
262172,1,31,IN,0,0,0,0,0,4.75,0,0,0,0,0
262334,2,2,IN,0,0,0,0,0,4.75,0,0,0,0,0
