iter	RMSE
0	0.9308621627
1	0.9200616354
2	0.909873869
3	0.8997890728
4	0.8912194824
5	0.8806874694
6	0.8700463607
7	0.8604521752
8	0.8517006428
9	0.8424326644
10	0.8349793526
11	0.8257386778
12	0.8187172424
13	0.8108474239
14	0.8041671748
15	0.7971206064
16	0.7902975092
17	0.7837691747
18	0.7779197677
19	0.7715269093
20	0.7649243637
21	0.7572413475
22	0.7502920756
23	0.7444425143
24	0.738183201
25	0.7343075064
26	0.7285042551
27	0.724018825
28	0.7196007392
29	0.7154092333
30	0.7109581135
31	0.7084629959
32	0.702244133
33	0.6973778407
34	0.6942223826
35	0.6898118114
36	0.6850261372
37	0.680522353
38	0.6763029883
39	0.6710360464
40	0.6660222789
41	0.6603341269
42	0.6567972616
43	0.6535604538
44	0.6512229402
45	0.6491663108
46	0.6463150374
47	0.6426050294
48	0.6393053388
49	0.6369173679
50	0.6337136406
51	0.6302749194
52	0.6276398019
53	0.6246543404
54	0.6206871647
55	0.6173385036
56	0.6156144614
57	0.613136185
58	0.61046215
59	0.6070661148
60	0.6039514882
61	0.6021866286
62	0.5995256277
63	0.5972911577
64	0.5942753603
65	0.5917719756
66	0.5900033054
67	0.5866007175
68	0.5827607789
69	0.5806553606
70	0.5792045655
71	0.5767432835
72	0.5751949483
73	0.5729505231
74	0.5695524548
75	0.567626246
76	0.5633991286
77	0.5592144769
78	0.5557694603
79	0.5534732991
80	0.5517960845
81	0.5497691913
82	0.5466897177
83	0.5448327368
84	0.5427636636
85	0.5411366175
86	0.5386076985
87	0.5368392714
88	0.5339842282
89	0.5324295892
90	0.5307417902
91	0.5290101134
92	0.527912035
93	0.5270348269
94	0.5253289249
95	0.5229500477
96	0.5211684029
97	0.5192079007
98	0.5163767726
99	0.513293606
100	0.5110626244
101	0.5089254692
102	0.5076553643
103	0.5062765941
104	0.5048253339
105	0.5026509254
106	0.501921549
107	0.4988862026
108	0.4981598371
109	0.4960734957
110	0.4947972295
111	0.4929748601
112	0.490665291
113	0.4893887888
114	0.4871964006
115	0.4857805515
116	0.483498665
117	0.4809973529
118	0.4797738042
119	0.4783149603
120	0.4767375036
121	0.4755699171
122	0.4741855027
123	0.4725325545
124	0.471267608
125	0.4700473701
126	0.4687180067
127	0.4669906112
128	0.4657526524
129	0.4643328024
130	0.4636654983
131	0.4626180286
132	0.4614377419
133	0.4589791454
134	0.4576919925
135	0.4564628258
136	0.4536160155
137	0.4528430334
138	0.4517549331
139	0.4505731372
140	0.4499002433
141	0.4490890629
142	0.4475696588
143	0.4452784469
144	0.4444141452
145	0.4435141858
146	0.442618157
147	0.4414703314
148	0.4405298987
149	0.4391023666
150	0.4382666135
151	0.437502496
152	0.4359712906
153	0.4340840788
154	0.4325320285
155	0.4305317474
156	0.4289096949
157	0.4276356853
158	0.4265461592
159	0.4259945237
160	0.4249946678
161	0.4242350736
162	0.4234533964
163	0.4223948782
164	0.4219302877
165	0.4210556966
166	0.420141977
167	0.4193988735
168	0.4184581455
169	0.4172722922
170	0.4164490474
171	0.415660916
172	0.4150508223
173	0.4140667619
174	0.4131152766
175	0.4125675008
176	0.4119189433
177	0.4103182374
178	0.4096342486
179	0.4088427251
180	0.407597775
181	0.4057859545
182	0.4038920486
183	0.4030384911
184	0.4019415599
185	0.4014546608
186	0.4007269825
187	0.4004201529
188	0.3996626713
189	0.3984737875
190	0.3972139985
191	0.3964336144
192	0.3957416409
193	0.3950666847
194	0.3942252915
195	0.3929344071
196	0.392041493
197	0.3908735584
198	0.390122484
199	0.3887908242
