iter	Passed	Remaining
0	0	94
1	1	102
2	1	97
3	2	99
4	2	89
5	2	82
6	2	77
7	3	74
8	3	71
9	3	68
10	3	66
11	4	65
12	4	63
13	4	61
14	4	59
15	5	58
16	5	57
17	5	55
18	5	55
19	6	54
20	6	53
21	6	52
22	6	51
23	6	51
24	7	50
25	7	49
26	7	48
27	7	47
28	7	47
29	8	46
30	8	45
31	8	45
32	8	44
33	8	43
34	9	43
35	9	42
36	9	41
37	9	41
38	9	40
39	10	40
40	10	39
41	10	39
42	10	38
43	10	38
44	11	38
45	11	37
46	11	37
47	11	36
48	11	36
49	11	35
50	12	35
51	12	35
52	12	35
53	12	34
54	13	34
55	13	34
56	13	34
57	13	34
58	14	33
59	14	33
60	14	33
61	15	33
62	15	33
63	15	33
64	16	33
65	16	33
66	16	32
67	16	32
68	17	32
69	17	32
70	17	32
71	17	31
72	18	31
73	18	31
74	18	31
75	18	30
76	19	30
77	19	30
78	19	30
79	19	29
80	20	29
81	20	29
82	20	29
83	21	29
84	21	28
85	21	28
86	21	28
87	21	27
88	22	27
89	22	27
90	22	27
91	22	26
92	23	26
93	23	26
94	23	26
95	23	25
96	24	25
97	24	25
98	24	25
99	25	25
100	25	24
101	25	24
102	25	24
103	25	23
104	26	23
105	26	23
106	26	23
107	27	23
108	27	22
109	27	22
110	27	22
111	28	22
112	28	21
113	28	21
114	29	21
115	29	21
116	29	21
117	30	21
118	30	20
119	30	20
120	31	20
121	31	20
122	32	20
123	32	19
124	32	19
125	32	19
126	33	19
127	33	18
128	33	18
129	33	18
130	34	18
131	34	17
132	34	17
133	35	17
134	35	16
135	35	16
136	35	16
137	36	16
138	36	15
139	36	15
140	36	15
141	37	15
142	37	14
143	37	14
144	37	14
145	38	14
146	38	13
147	38	13
148	39	13
149	39	13
150	39	12
151	39	12
152	39	12
153	40	12
154	40	11
155	40	11
156	40	11
157	41	10
158	41	10
159	41	10
160	41	10
161	42	9
162	42	9
163	43	9
164	43	9
165	43	8
166	44	8
167	44	8
168	44	8
169	45	7
170	45	7
171	45	7
172	45	7
173	46	6
174	46	6
175	46	6
176	47	6
177	47	5
178	47	5
179	47	5
180	48	5
181	48	4
182	48	4
183	48	4
184	49	3
185	49	3
186	49	3
187	50	3
188	50	2
189	50	2
190	50	2
191	51	2
192	51	1
193	51	1
194	51	1
195	52	1
196	52	0
197	52	0
198	53	0
199	53	0
