iter	RMSE
0	0.8903050854
1	0.8504705943
2	0.8022686969
3	0.7693168938
4	0.7326269478
5	0.690071292
6	0.6505342714
7	0.6194414736
8	0.6022780411
9	0.5695845753
10	0.5431714893
11	0.5295393359
12	0.5069677711
13	0.4926219827
14	0.4729478348
15	0.4584052406
16	0.4428984599
17	0.4327257178
18	0.421451447
19	0.4102127269
20	0.4038328142
21	0.3936983845
22	0.384227757
23	0.3767665635
24	0.3710727386
25	0.3663026894
26	0.3618214097
27	0.3568023709
28	0.3484351721
29	0.3429007642
30	0.3386086333
31	0.3345362717
32	0.330073946
33	0.3254378801
34	0.3188257336
35	0.314712328
36	0.3109437334
37	0.3064309299
38	0.3023674634
39	0.2997176612
40	0.2980758108
41	0.2955676448
42	0.2924036609
43	0.2899553131
44	0.2883811765
45	0.28637479
46	0.2836177833
47	0.2818224708
48	0.2794962721
49	0.2777931713
50	0.2757942387
51	0.272913073
52	0.2716449689
53	0.2697719594
54	0.2677479946
55	0.2662916815
56	0.2649901639
57	0.2631439934
58	0.2609001632
59	0.258975467
60	0.2574030506
61	0.2546477063
62	0.2536726166
63	0.2518381236
64	0.2501316033
65	0.2483081852
66	0.2438786286
67	0.2430663607
68	0.2413259445
69	0.2399354743
70	0.2374578508
71	0.2361919021
72	0.2330713529
73	0.2317049694
74	0.2293806394
75	0.2273594285
76	0.2260558891
77	0.2247632355
78	0.2229430144
79	0.2206596323
80	0.2189843581
81	0.217525865
82	0.2155409067
83	0.2144660846
84	0.2122373221
85	0.211459456
86	0.2103240265
87	0.2093079357
88	0.2084948227
89	0.2076877805
90	0.2071348319
91	0.2061759758
92	0.2056934496
93	0.2046580889
94	0.2025320642
95	0.2018216976
96	0.2007639922
97	0.1993337882
98	0.1978284621
99	0.196129265
100	0.1954402125
101	0.1943976272
102	0.1929260492
103	0.1922408812
104	0.1904803645
105	0.1899147629
106	0.1890601047
107	0.1880338534
108	0.1868025035
109	0.1856382279
110	0.1850335598
111	0.1835829189
112	0.1827595727
113	0.1812282394
114	0.1803568311
115	0.1792701515
116	0.1777395185
117	0.1768709655
118	0.1754730877
119	0.1743011488
120	0.1734243664
121	0.1725760654
122	0.171518146
123	0.1706418729
124	0.1690719833
125	0.1681250246
126	0.1668159422
127	0.1660872353
128	0.164579055
129	0.1642727165
130	0.1635230719
131	0.1623311277
132	0.1619638057
133	0.160590715
134	0.1592287824
135	0.157863348
136	0.157351125
137	0.1569313302
138	0.1561689228
139	0.15568817
140	0.1544470465
141	0.1535661396
142	0.1524640356
143	0.15123931
144	0.1501069371
145	0.1496151082
146	0.1491089843
147	0.1481517733
148	0.1469622451
149	0.1459994547
150	0.1454546503
151	0.1447282494
152	0.1442412045
153	0.1433989714
154	0.1423568974
155	0.1415509539
156	0.1405371921
157	0.1399203103
158	0.1388035892
159	0.1380500883
160	0.1373526702
161	0.1371409599
162	0.1365420141
163	0.1357019037
164	0.135069077
165	0.1345111431
166	0.1341884352
167	0.1338255886
168	0.1332670014
169	0.1323533329
170	0.1317712208
171	0.1312409076
172	0.1308339244
173	0.1302609188
174	0.1296780189
175	0.1290163761
176	0.1285877992
177	0.1276477533
178	0.1269142083
179	0.1266971381
