name,rating,runtime,genre,votescore,metacritic,year,votes,gross,budget,director
9,PG-13,79 min,"Animation, Action, Adventure",7.0,60,(I) (2009),"140,609",$31.74M,"$30,000,000 (estimated)",Shane Acker
A Bug's Life,G,95 min,"Animation, Adventure, Comedy",7.2,77,(I) (1998),"292,528",$162.80M,"$120,000,000 (estimated)",John Lasseter
A Christmas Carol,PG,96 min,"Animation, Adventure, Comedy",6.8,55,(2009),"115,397",$137.86M,"$200,000,000 (estimated)",Robert Zemeckis
A Goofy Movie,G,78 min,"Animation, Adventure, Comedy",6.9,53,(1995),"55,042",$35.35M,"$18,000,000 (estimated)",Kevin Lima
A Scanner Darkly,R,100 min,"Animation, Comedy, Crime",7.0,73,(2006),"112,406",$5.50M,"$8,700,000 (estimated)",Richard Linklater
Abominable,PG,97 min,"Animation, Adventure, Comedy",7.0,61,(2019),"38,631",$60.72M,"$75,000,000 (estimated)",Jill Culton
Akira,R,124 min,"Animation, Action, Drama",8.0,67,(1988),"186,033",$0.55M,"¥1,100,000,000 (estimated)",Katsuhiro Ôtomo
Aladdin,G,90 min,"Animation, Adventure, Comedy",8.0,86,(1992),"416,580",$217.35M,"$28,000,000 (estimated)",Ron Clements
Alice in Wonderland,G,75 min,"Animation, Adventure, Comedy",7.4,68,(1951),"142,159",$1.07M,"$3,000,000 (estimated)",Clyde Geronimi
All Dogs Go to Heaven,G,84 min,"Animation, Adventure, Comedy",6.7,50,(1989),"42,264",$27.10M,"$13,800,000 (estimated)",Don Bluth
Alvin and the Chipmunks,PG,92 min,"Animation, Adventure, Comedy",5.2,39,(2007),"86,171",$217.33M,"$60,000,000 (estimated)",Tim Hill
Alvin and the Chipmunks: Chipwrecked,G,87 min,"Animation, Adventure, Comedy",4.3,24,(2011),"35,758",$133.11M,"$75,000,000 (estimated)",Mike Mitchell
Alvin and the Chipmunks: The Squeakquel,PG,88 min,"Animation, Adventure, Comedy",4.5,41,(2009),"49,530",$219.61M,"$75,000,000 (estimated)",Betty Thomas
An American Tail,G,80 min,"Animation, Adventure, Comedy",6.9,38,(1986),"53,944",$47.48M,"$47,483,002",Don Bluth
An American Tail: Fievel Goes West,G,75 min,"Animation, Adventure, Family",6.4,,(1991),"26,567",$22.17M,"$22,166,041",Phil Nibbelink
Anastasia,G,94 min,"Animation, Adventure, Drama",7.1,61,(1997),"124,170",$58.41M,"$50,000,000 (estimated)",Don Bluth
The Angry Birds Movie,PG,97 min,"Animation, Action, Adventure",6.3,43,(2016),"93,156",$107.51M,"$73,000,000 (estimated)",Clay Kaytis
Anomalisa,R,90 min,"Animation, Comedy, Drama",7.2,88,(2015),"72,084",$3.76M,"$8,000,000 (estimated)",Duke Johnson
Antz,PG,83 min,"Animation, Adventure, Comedy",6.6,72,(1998),"155,749",$90.76M,"$105,000,000 (estimated)",Eric Darnell
Arthur Christmas,PG,97 min,"Animation, Adventure, Comedy",7.1,69,(2011),"59,150",$46.46M,"$100,000,000 (estimated)",Sarah Smith
Arthur and the Invisibles,PG,94 min,"Animation, Adventure, Comedy",6.0,39,(2006),"37,603",$15.13M,"$86,000,000 (estimated)",Luc Besson
Astro Boy,PG,94 min,"Animation, Action, Adventure",6.3,53,(2009),"37,070",$19.55M,"$65,000,000 (estimated)",David Bowers
Atlantis: The Lost Empire,PG,95 min,"Animation, Action, Adventure",6.9,52,(2001),"120,248",$84.05M,"$120,000,000 (estimated)",Gary Trousdale
Resident Evil: Degeneration,R,98 min,"Animation, Action, Horror",6.4,,(2008),"31,567",,"$403,117",Makoto Kamiya
Balto,G,78 min,"Animation, Adventure, Drama",7.1,,(1995),"44,145",$11.35M,"$11,348,324",Simon Wells
Bambi,G,69 min,"Animation, Adventure, Drama",7.3,91,(1942),"143,349",$102.80M,"$102,247,150",James Algar
Barnyard,PG,90 min,"Animation, Adventure, Comedy",5.6,42,(2006),"31,457",$72.78M,"$51,000,000 (estimated)",Steve Oedekerk
Batman: Mask of the Phantasm,PG,76 min,"Animation, Action, Adventure",7.8,65,(1993),"51,242",$5.62M,"$6,000,000 (estimated)",Kevin Altieri
Batman: The Killing Joke,R,76 min,"Animation, Action, Crime",6.4,,(2016),"57,179",$3.78M,"$3,500,000 (estimated)",Sam Liu
Beauty and the Beast,G,84 min,"Animation, Family, Fantasy",8.0,95,(1991),"453,029",$218.97M,"$25,000,000 (estimated)",Gary Trousdale
Beavis and Butt-Head Do America,PG-13,81 min,"Animation, Adventure, Comedy",6.8,64,(1996),"57,619",$63.07M,"$12,000,000 (estimated)",Mike Judge
Bedknobs and Broomsticks,G,117 min,"Animation, Adventure, Comedy",7.0,59,(1971),"37,976",$18.53M,"$20,000,000 (estimated)",Robert Stevenson
Bee Movie,PG,91 min,"Animation, Adventure, Comedy",6.1,54,(2007),"162,535",$126.63M,"$150,000,000 (estimated)",Simon J. Smith
Beowulf,PG-13,115 min,"Animation, Action, Adventure",6.3,59,(2007),"168,595",$82.16M,"$150,000,000 (estimated)",Robert Zemeckis
Big Hero 6,PG,102 min,"Animation, Action, Adventure",7.8,74,(2014),"459,166",$222.53M,"$165,000,000 (estimated)",Don Hall
Bolt,PG,96 min,"Animation, Adventure, Comedy",6.8,67,(2008),"211,078",$114.05M,"$150,000,000 (estimated)",Byron Howard
Brave,PG,93 min,"Animation, Adventure, Comedy",7.1,69,(2012),"410,239",$237.28M,"$185,000,000 (estimated)",Mark Andrews
Brother Bear,G,85 min,"Animation, Adventure, Comedy",6.8,48,(2003),"111,170",$85.34M,"$128,000,000 (estimated)",Aaron Blaise
5 Centimeters per Second,TV-PG,63 min,"Animation, Drama, Family",7.5,,(2007),"58,139",,"$5,000,000 (estimated)",Makoto Shinkai
Captain Underpants: The First Epic Movie,PG,89 min,"Animation, Action, Adventure",6.2,69,(2017),"28,863",$73.92M,"$38,000,000 (estimated)",David Soren
Cars,G,117 min,"Animation, Adventure, Comedy",7.2,73,(2006),"419,148",$244.08M,"$120,000,000 (estimated)",John Lasseter
Cars 2,G,106 min,"Animation, Adventure, Comedy",6.2,57,(2011),"189,833",$191.45M,"$200,000,000 (estimated)",John Lasseter
Cars 3,G,102 min,"Animation, Adventure, Comedy",6.7,59,(2017),"99,939",$152.90M,"$175,000,000 (estimated)",Brian Fee
Chicken Little,G,81 min,"Animation, Adventure, Comedy",5.7,48,(2005),"93,271",$135.39M,"$150,000,000 (estimated)",Mark Dindal
Chicken Run,G,84 min,"Animation, Adventure, Comedy",7.1,88,(2000),"192,368",$106.83M,"$45,000,000 (estimated)",Peter Lord
Chip 'n Dale: Rescue Rangers,PG,97 min,"Animation, Adventure, Comedy",7.0,66,(2022),"38,676",,"$70,000,000 (estimated)",Akiva Schaffer
Cinderella,G,74 min,"Animation, Family, Fantasy",7.3,85,(1950),"160,596",$85.00M,"$2,900,000 (estimated)",Clyde Geronimi
Cloudy with a Chance of Meatballs,PG,90 min,"Animation, Adventure, Comedy",6.9,66,(2009),"232,677",$124.87M,"$100,000,000 (estimated)",Phil Lord
Cloudy with a Chance of Meatballs 2,PG,95 min,"Animation, Adventure, Comedy",6.3,59,(2013),"103,659",$119.79M,"$78,000,000 (estimated)",Cody Cameron
Coco,PG,105 min,"Animation, Adventure, Comedy",8.4,81,(I) (2017),"498,272",$209.73M,"$175,000,000 (estimated)",Lee Unkrich
Coraline,PG,100 min,"Animation, Drama, Family",7.7,80,(2009),"227,011",$75.29M,"$60,000,000 (estimated)",Henry Selick
Corpse Bride,PG,77 min,"Animation, Drama, Family",7.3,83,(2005),"271,778",$53.36M,"$40,000,000 (estimated)",Tim Burton
